Name,NetWorth,Country,Source,Rank,Age,Industry
Jeff Bezos,$177 B,United States,Amazon,1,57.0,Technology
Elon Musk,$151 B,United States,"Tesla, SpaceX",2,49.0,Automotive
Bernard Arnault & family,$150 B,France,LVMH,3,72.0,Fashion & Retail
Bill Gates,$124 B,United States,Microsoft,4,65.0,Technology
Mark Zuckerberg,$97 B,United States,Facebook,5,36.0,Technology
Warren Buffett,$96 B,United States,Berkshire Hathaway,6,90.0,Finance & Investments
Larry Ellison,$93 B,United States,software,7,76.0,Technology
Larry Page,$91.5 B,United States,Google,8,48.0,Technology
Sergey Brin,$89 B,United States,Google,9,47.0,Technology
Mukesh Ambani,$84.5 B,India,diversified,10,63.0,Diversified
Amancio Ortega,$77 B,Spain,Zara,11,85.0,Fashion & Retail
Francoise Bettencourt Meyers & family,$73.6 B,France,L'Oréal,12,67.0,Fashion & Retail
Zhong Shanshan,$68.9 B,China,"beverages, pharmaceuticals",13,66.0,Food & Beverage
Steve Ballmer,$68.7 B,United States,Microsoft,14,65.0,Technology
Ma Huateng,$65.8 B,China,internet media,15,49.0,Technology
Carlos Slim Helu & family,$62.8 B,Mexico,telecom,16,81.0,Telecom
Alice Walton,$61.8 B,United States,Walmart,17,71.0,Fashion & Retail
Jim Walton,$60.2 B,United States,Walmart,18,72.0,Fashion & Retail
Rob Walton,$59.5 B,United States,Walmart,19,76.0,Fashion & Retail
Michael Bloomberg,$59 B,United States,Bloomberg LP,20,79.0,Media & Entertainment
Colin Zheng Huang,$55.3 B,China,e-commerce,21,41.0,Technology
MacKenzie Scott,$53 B,United States,Amazon,22,50.0,Technology
Daniel Gilbert,$51.9 B,United States,Quicken Loans,23,59.0,Finance & Investments
Gautam Adani & family,$50.5 B,India,"infrastructure, commodities",24,58.0,Diversified
Phil Knight & family,$49.9 B,United States,Nike,25,83.0,Fashion & Retail
Jack Ma,$48.4 B,China,e-commerce,26,56.0,Technology
Charles Koch,$46.4 B,United States,Koch Industries,27,85.0,Diversified
Julia Koch & family,$46.4 B,United States,Koch Industries,27,58.0,Diversified
Masayoshi Son,$45.4 B,Japan,"internet, telecom",29,63.0,Telecom
Michael Dell,$45.1 B,United States,Dell computers,30,56.0,Technology
Tadashi Yanai & family,$44.1 B,Japan,fashion retail,31,72.0,Fashion & Retail
François Pinault & family,$42.3 B,France,luxury goods,32,84.0,Fashion & Retail
David Thomson & family,$41.8 B,Canada,media,33,63.0,Media & Entertainment
Beate Heister & Karl Albrecht Jr.,$39.2 B,Germany,supermarkets,34,69.0,Fashion & Retail
Wang Wei,$39 B,China,package delivery,35,50.0,Service
Miriam Adelson,$38.2 B,United States,casinos,36,75.0,Gambling & Casinos
He Xiangjian,$37.7 B,China,home appliances,37,78.0,Manufacturing
Dieter Schwarz,$36.9 B,Germany,retail,38,81.0,Fashion & Retail
Zhang Yiming,$35.6 B,China,TikTok,39,37.0,Technology
Giovanni Ferrero,$35.1 B,Italy,"Nutella, chocolates",40,56.0,Food & Beverage
Alain Wertheimer,$34.5 B,France,Chanel,41,72.0,Fashion & Retail
Gerard Wertheimer,$34.5 B,France,Chanel,41,70.0,Fashion & Retail
Li Ka-shing,$33.7 B,Hong Kong,diversified,43,92.0,Diversified
Qin Yinglin & family,$33.5 B,China,pig breeding,44,55.0,Food & Beverage
William Lei Ding,$33 B,China,online games,45,49.0,Technology
Len Blavatnik,$32 B,United States,"music, chemicals",46,63.0,Diversified
Lee Shau Kee,$31.7 B,Hong Kong,real estate,47,93.0,Real Estate
Jacqueline Mars,$31.3 B,United States,"candy, pet food",48,81.0,Food & Beverage
John Mars,$31.3 B,United States,"candy, pet food",48,85.0,Food & Beverage
Yang Huiyan & family,$29.6 B,China,real estate,50,39.0,Real Estate
Alexey Mordashov & family,$29.1 B,Russia,"steel, investments",51,55.0,Metals & Mining
Robin Zeng,$28.4 B,Hong Kong,batteries,52,52.0,Energy
Hui Ka Yan,$27.7 B,China,real estate,53,62.0,Real Estate
Susanne Klatten,$27.7 B,Germany,"BMW, pharmaceuticals",53,58.0,Automotive
Vladimir Potanin,$27 B,Russia,metals,55,60.0,Metals & Mining
Dietrich Mateschitz,$26.9 B,Austria,Red Bull,56,76.0,Food & Beverage
Pang Kang,$26.4 B,China,soy sauce,57,65.0,Food & Beverage
Klaus-Michael Kuehne,$26.3 B,Germany,shipping,58,83.0,Logistics
Vladimir Lisin,$26.2 B,Russia,"steel, transport",59,64.0,Metals & Mining
Wang Xing,$26.1 B,China,e-commerce,60,42.0,Technology
German Larrea Mota Velasco & family,$25.9 B,Mexico,mining,61,67.0,Metals & Mining
Leonardo Del Vecchio & family,$25.8 B,Italy,eyeglasses,62,85.0,Fashion & Retail
Takemitsu Takizaki,$25.8 B,Japan,sensors,62,75.0,Manufacturing
Leonard Lauder,$25.5 B,United States,Estee Lauder,64,88.0,Fashion & Retail
Thomas Peterffy,$25 B,United States,discount brokerage,65,76.0,Finance & Investments
Vagit Alekperov,$24.9 B,Russia,oil,66,70.0,Energy
